Average IMDb Rating by Genre
Genre,Average Rating
"Documentary, Biography, History",9.5
"Documentary, Biography, Comedy",9.1
Action,9.0
"Documentary, Music",8.6
"Animation, Short, Comedy",8.4
N/A,8.3
"Short, Comedy",8.1
"Short, Adventure, Comedy",6.7
"Animation, Action, Adventure",6.633333333333333
"Animation, Action, Sci-Fi",6.6
"Animation, Short, Adventure",6.5
Documentary,5.9799999999999995
"Animation, Adventure, Comedy",5.833333333333333
Reality-TV,5.8
"Action, Comedy, Horror",5.8
Comedy,5.7
"Comedy, Horror",5.5
"Comedy, Music",4.1
Horror,3.6
"Adventure, Comedy, Fantasy",3.3
"Comedy, Sci-Fi, Thriller",3.2
Family,3.1
"Animation, Action, Comedy",2.2

Movie Counts by Year
Year,Count
2024,75
2015,25

Movies with Soundtracks
Title,Year,Album Name,Genre

The Garfield Movie,2024,The Garfield Movie (Original Motion Picture Soundtrack),"Animation, Adventure, Comedy"
Saving Bikini Bottom: The Sandy Cheeks Movie,2024,Saving Bikini Bottom: The Sandy Cheeks Movie (Original Motion Picture Soundtrack),"Animation, Adventure, Comedy"
The 4:30 Movie,2024,The 4:30 Movie (Original Motion Picture Soundtrack),Comedy
The Casagrandes Movie,2024,The Casagrandes Movie: Songs from and Inspired by the Original Motion Picture,"Animation, Adventure, Comedy"
Big City Greens the Movie: Spacecation,2024,Big City Greens the Movie: Spacecation (Original Soundtrack),"Animation, Action, Adventure"
Ryan's World the Movie: Titan Universe Adventure,2024,Ryan's World the Movie: Titan Universe Adventure (The Original Motion Picture Soundtrack),"Animation, Action, Comedy"
Slave Play. Not a Movie. A Play.,2024,Slave,Documentary
Abducted at an HBCU: A Black Girl Missing Movie,2024,Abducted,"Drama, Mystery"
The Amazing World of Gumball: The Movie,2024,The Amazing World of Gumball,"Animation, Adventure, Comedy"
I Want to Be Neenja! The Movie,2024,I Want To Be Neenja,Comedy
Another Cabin in the Woods Movie,2024,Cabin in the Woods,"Comedy, Horror"
The Wrong Movie,2024,The Theme from The Wrong Movie,Drama
Cheech and Chong's Last Movie,2024,Cheech And Chong,Documentary
Every Christopher Nolan Movie Ranked,2024,Nolan,News
These Guys the Movie,2024,Guy,Comedy
LOL Surprise! The Skate Dance Movie,2024,The Skate Dance Movie,Comedy
Five Nights at Freddy's Minecraft Roleplay Movie,2024,Five Nights at Freddy's,"Action, Comedy, Horror"
Eternity Road Movie,2024,Eternity,Drama
"Summerville, the movie",2024,Summerville,"Short, Sci-Fi"
Community: The Movie,2024,Community,Comedy
Fat Chance! the Movie,2024,Fat Chance,"Animation, Adventure"
Christie the Movie,2024,Christie,"Action, Crime, Drama"
Home Movie,2024,Home Movie,Short
The Movie More,2024,More,Comedy
"Macho Madness, the Movie",2024,Macho,Short
Super Bowl LVIII was a Movie,2024,Super Bowl,Adventure
Movie Night,2024,The Movie Night Album,Horror
Cacophony the Animated Movie,2024,Cacophony,"Animation, Action, Adventure"
A Trill Movie Look Vol. 1,2024,Trill,"Short, Music"
Double Standards Featured Movie,2024,double standard,Drama
This is a Movie,2024,This Is A Movie (Music from the Motion Picture The Upsetter) - Single,"Documentary, Short"
WZZQ the Movie,2024,Movie,Documentary
Payback: Movie 2024,2024,PayBack,Sci-Fi

"Movies, IMDB Rating, and Article Count"
Movie Title,IMDb Rating,Article Count
Not Another Church Movie,2.2,99
The Garfield Movie,5.7,98
Community: The Movie,0.0,25
King of the Movie Studio,0.0,25
The Wrong Movie,0.0,25
These Guys the Movie,0.0,25
Slave Play. Not a Movie. A Play.,5.3,24
Patrice: The Movie,9.5,22
The 4:30 Movie,6.0,16
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,12
Movie Monster Support Group,0.0,7
No Time to Spy: A Loud House Movie,6.3,6
The Casagrandes Movie,5.6,3
Ryan's World the Movie: Titan Universe Adventure,2.2,2
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,2
The Real Bros of Simi Valley: The Movie,7.1,1
